pid,n_neurons,sig_neurons,perc_sig
00c425fd-ec3e-4cd2-b8af-c0bc0c4bdd44,86,24,27.9
9486a103-c53e-4a60-b202-4efcc6278d44,2,1,50.0
d23dec01-b35e-4950-9afa-72a1b3e74148,40,26,65.0
3282a590-8688-44fc-9811-cdf8b80d9a80,51,5,9.8
83716e49-3026-41a3-b021-1a4b6362f433,16,4,25.0
6292dc98-e2f1-45de-b045-56d98fdaca75,30,12,40.0
88e1154c-bd92-446d-bd6d-550062666223,206,37,18.0
7d63ab43-95e4-41f5-bd43-c629578de7a9,74,5,6.8
bb7a5967-56ae-4193-920d-142710b4f07d,10,0,0.0
d8ccc6bb-f0d9-494a-b682-f12c73e228c6,33,0,0.0
05ccc92c-fcb0-4e92-84d3-de033890c7a8,36,6,16.7
7be00744-2e27-4062-8f56-3969e24e9990,133,39,29.3
aac3b928-e99a-4039-ace1-af45d0130d82,0,0,
8d661567-49f3-4547-997d-a345c0ffe2dd,12,0,0.0
3e7618b8-34ca-4e48-ba3a-0e0f88a43131,58,6,10.3
099c0519-640b-4eb7-867c-998dc337579d,92,8,8.7
55423355-281c-41f2-8ef7-5aa098ffbbed,165,29,17.6
f7c93877-ec05-4091-a003-e69fae0f2fa8,142,33,23.2
f142d2c6-6d85-4e9d-9c56-07620486e068,165,38,23.0
aec2b14f-5dbc-400b-bf2e-dd13e711e2ff,109,15,13.8
46630957-63fd-4d0d-a2ba-8766f0796db8,55,17,30.9
f9d783f9-7d2e-4b53-83f7-9409f788cbca,170,25,14.7
fe380793-8035-414e-b000-09bfe5ece92a,168,17,10.1
695476f6-4c14-4a2f-b658-948514629079,102,36,35.3
